("coldly", [1])
("come", [48])
("comes", [14])
("comfort", [3])
("comfortless", [1])
("coming", [3])
("command", [2])
("commend", [1])
("commends", [2])
("comment", [1])
("committed", [1])
("commodities", [1])
("common", [4])
("communicate", [1])
("compact", [2])
("companion", [1])
("company", [6])
("compass", [2])
("complain", [2])
("complexion", [1])
("computation", [1])
("conceit", [3])
("conclude", [2])
("conclusion", [2])
("condemned", [1])
("conduits", [1])
("confederate", [1])
("confederates", [2])
("conference", [1])
("confess", [2])
("confirms", [1])
("confiscate", [2])
("confounds", [1])
("confusion", [1])
("conjure", [3])
("conjurer", [3])
("conquers", [1])
("consecrate", [1])
("consent", [2])
("consequence", [1])
("consider", [1])
("consort", [1])
("contagion", [1])
("contaminate", [1])
("contempt", [1])
("content", [2])
("contraries", [1])
("controls", [1])
("controversy", [1])
("converse", [1])
("convey", [1])
("conveyd", [2])
("cools", [1])
("copy", [1])
("cords", [1])
("corinth", [6])
("corruption", [1])
("cost", [1])
("could", [15])
("couldst", [1])
("counter", [1])
("counterfeit", [1])
("countermands", [1])
("countries", [1])
("countrymen", [2])
("course", [3])
("courtezan", [15])
("courtezans", [1])
("coverd", [1])
("covetous", [1])
("coxcomb", [1])
("cozenage", [1])
("crackd", [1])
("crannies", [1])
("crave", [1])
("create", [1])
("creature", [4])
("credit", [4])
("creditor", [1])
("creeks", [1])
("creep", [1])
("cries", [3])
("crime", [1])
("crooked", [1])
("cross", [2])
("crow", [5])
("crown", [1])
("crupper", [1])
("cry", [4])
("cuckoldmad", [1])
("cup", [1])
("curse", [1])
("curtal", [1])
("custody", [2])
("customers", [1])
("cut", [1])
("cuts", [1])
("d", [1])
("daily", [1])
("dainties", [1])
("dainty", [1])
("dalliance", [2])
("dally", [1])
("dam", [1])
("dame", [1])
("damn", [1])
("damned", [1])
("dangers", [1])
("dankish", [1])
("dare", [1])
("darest", [3])
("dark", [2])
("darkness", [1])
("darkworking", [1])
("date", [1])
("day", [14])
("days", [1])
("dead", [1])
("deadlooking", [1])
("deadly", [2])
("deaf", [1])
("dealer", [1])
("dealers", [1])
("dear", [6])
("dearer", [1])
("dearly", [1])
("death", [9])
("debate", [1])
("debating", [1])
("debt", [5])
("debted", [1])
("decayed", [2])
("deceit", [1])
("deceive", [2])
("deciphers", [1])
("decline", [1])
("declining", [1])
("decreed", [1])
("deep", [3])
("deepdivorcing", [1])
("deer", [1])
("default", [1])
("defeatures", [2])
("deform", [1])
("deformed", [2])
("defy", [1])
("delay", [1])
("delays", [1])
("delight", [2])
("deliver", [4])
("deliverd", [1])
("delivered", [2])
("demand", [1])
("demean", [1])
("demeand", [1])
("demeanor", [1])
("denied", [4])
("denies", [3])
("deny", [10])
("denying", [1])
("depart", [5])
("departedst", [1])
("desert", [1])
("desired", [1])
("desk", [3])
("despair", [1])
("desperately", [1])
("despite", [1])
("detain", [1])
("determine", [1])
("device", [1])
("devil", [5])
("devils", [2])
("dial", [1])
("diamond", [2])
("did", [55])
("didst", [12])
("die", [5])
("dies", [2])
("diet", [1])
("different", [1])
("digest", [1])
("digestions", [1])
("dignity", [1])
("dilate", [1])
("diminishing", [1])
("dine", [9])
("dined", [7])
("dines", [1])
("dinner", [21])
("dinnertime", [3])
("dire", [1])
("disannul", [1])
("disburse", [1])
("discharge", [2])
("discharged", [1])
("discord", [1])
("discourse", [3])
("discoursed", [1])
("discourses", [1])
("discover", [1])
("discovered", [1])
("disdain", [1])
("disfigure", [1])
("disguised", [2])
("dish", [1])
("dishonestly", [1])
("dishonourd", [1])
("disloyalty", [1])
("disparagement", [1])
("dispatch", [1])
("dispense", [1])
("dispersed", [1])
("displeased", [1])
("displeasure", [2])
("dispose", [1])
("disposed", [2])
("dissembling", [2])
("distemperatures", [1])
("distinguishd", [1])
("distract", [1])
("distracted", [1])
("distressed", [1])
("disturbd", [1])
("disturbed", [1])
("ditches", [1])
("divine", [2])
("diviner", [1])
("divorce", [1])
("do", [44])
("doctor", [3])
("dog", [1])
("dogs", [1])
("doing", [1])
("done", [6])
("doom", [1])
("doomd", [1])
("doomsday", [1])
("door", [12])
("doors", [10])
("dost", [11])
("dote", [3])
("doth", [16])
("doting", [1])
("double", [1])
("doubled", [1])
("doubt", [3])
("doubtful", [1])
("doubtfully", [2])
("down", [7])
("dowsabel", [1])
("draw", [6])
("drawn", [2])
("draws", [1])
("dream", [3])
("drew", [3])
("drift", [1])
("driven", [1])
("drives", [1])
