("", [42])
("alarm", [1])
("alarum", [4])
("alarums", [3])
("alas", [86])
("albeit", [8])
("alce", [1])
("alcides", [3])
("ale", [6])
("alehouse", [2])
("alehouses", [1])
("alencon", [1])
("alencons", [1])
("alevenpence", [1])
("alewife", [1])
("alexander", [14])
("alice", [2])
("alien", [1])
("aliena", [7])
("alighted", [2])
("alike", [15])
("alisander", [5])
("alisanderalas", [1])
("alit", [1])
("alive", [24])
("all", [1266])
("alla", [1])
("allamazed", [1])
("allay", [5])
("allaying", [1])
("allayment", [1])
("allayments", [1])
("allbuilding", [1])
("alldreaded", [1])
("allege", [1])
("allegiance", [6])
("alley", [2])
("alleys", [1])
("allhallond", [1])
("allhallowmas", [1])
("alliance", [3])
("allicholy", [1])
("allied", [3])
("allies", [1])
("alligant", [1])
("allons", [3])
("allot", [1])
("allottery", [1])
("allow", [9])
("allowance", [2])
("allowd", [4])
("allowed", [7])
("allowing", [2])
("allows", [2])
("alls", [9])
("alltelling", [1])
("allto", [1])
("allure", [2])
("allured", [1])
("alluring", [1])
("allusion", [2])
("allwe", [1])
("allworthy", [2])
("almanac", [1])
("almighty", [4])
("almond", [1])
("almost", [61])
("alms", [5])
("almsbasket", [1])
("aloft", [2])
("alone", [59])
("along", [32])
("alonso", [49])
("aloof", [4])
("aloud", [11])
("alphabetical", [1])
("already", [42])
("also", [12])
("altar", [5])
("altars", [3])
("alter", [8])
("alteration", [2])
("alterd", [5])
("altered", [3])
("altering", [1])
("alters", [1])
("although", [27])
("altogether", [8])
("altogethers", [1])
("always", [24])
("am", [909])
("amaimon", [1])
("amain", [4])
("amaze", [5])
("amazed", [15])
("amazedly", [2])
("amazedness", [2])
("amazement", [9])
("amazes", [1])
("ambassador", [5])
("ambassadors", [2])
("amber", [4])
("ambercolourd", [1])
("ambition", [9])
("ambitions", [1])
("ambitious", [5])
("ambles", [4])
("ambling", [1])
("ambush", [2])
("amen", [27])
("amend", [8])
("amending", [1])
("amendment", [1])
("amends", [10])
("america", [1])
("amiable", [4])
("amid", [1])
("amidst", [1])
("amiens", [16])
("amiss", [10])
("amity", [4])
("among", [31])
("amongst", [12])
("amorous", [10])
("amort", [1])
("amount", [5])
("amounts", [2])
("amphimachus", [1])
("ample", [6])
("ampler", [1])
("amplify", [1])
("amply", [2])
("an", [694])
("anatomize", [1])
("anatomized", [1])
("anatomy", [2])
("ancestor", [1])
("ancestors", [5])
("ancestry", [1])
("anchises", [1])
("anchor", [3])
("anchors", [3])
("ancient", [17])
("ancientry", [2])
("ancientst", [1])
("and", [8619])
("anddo", [1])
("andhow", [1])
("andin", [1])
("andirons", [1])
("andrew", [117])
("andromache", [11])
("ands", [1])
("andwhich", [1])
("andyonder", [1])
("angel", [16])
("angellike", [1])
("angelo", [204])
("angelos", [6])
("angels", [14])
("anger", [18])
